Search_Strategy,Explored_Nodes
bfs,2062
ucs,2062
dfs,479
dls,479
astar,794
bfs,2734
ucs,2734
dfs,108
dls,108
astar,426
bfs,6229
ucs,6229
dfs,1367
dls,1367
astar,1977
bfs,1269
ucs,1269
dfs,3728
dls,3728
astar,290
bfs,3565
ucs,3565
dfs,5948
dls,5000
astar,864
bfs,3684
ucs,3684
dfs,4498
dls,4498
astar,397
bfs,8499
ucs,8499
dfs,4372
dls,4372
astar,3134
bfs,2806
ucs,2806
dfs,609
dls,609
astar,591
bfs,4997
ucs,4997
dfs,3082
dls,3082
astar,1130
bfs,2777
ucs,2777
dfs,2761
dls,2761
astar,146
bfs,4199
ucs,4199
dfs,5359
dls,5000
astar,941
bfs,5844
ucs,5844
dfs,3851
dls,3851
astar,1816
bfs,40
ucs,40
dfs,1180
dls,1180
astar,6
bfs,4778
ucs,4778
dfs,2791
dls,2791
astar,1378
bfs,1222
ucs,1222
dfs,1289
dls,1289
astar,371
bfs,2651
ucs,2651
dfs,3974
dls,3974
astar,533
bfs,7153
ucs,7153
dfs,1837
dls,1837
astar,3159
bfs,4363
ucs,4363
dfs,446
dls,446
astar,2218
bfs,7533
ucs,7533
dfs,5871
dls,5000
astar,4424
bfs,719
ucs,719
dfs,4159
dls,4159
astar,118
bfs,6096
ucs,6096
dfs,2717
dls,2717
astar,2177
bfs,5558
ucs,5558
dfs,394
dls,394
astar,1147
bfs,4427
ucs,4427
dfs,5238
dls,5000
astar,715
bfs,8887
ucs,8887
dfs,2764
dls,2764
astar,7282
bfs,6244
ucs,6244
dfs,4798
dls,4798
astar,1238
bfs,3325
ucs,3325
dfs,2775
dls,2775
astar,579
bfs,8644
ucs,8644
dfs,2980
dls,2980
astar,4835
bfs,5970
ucs,5970
dfs,4830
dls,4830
astar,839
bfs,1270
ucs,1270
dfs,29
dls,29
astar,189
bfs,244
ucs,244
dfs,2814
dls,2814
astar,49
